Date,Open,High,Low,Close,Adj Close,Volume
2017-09-15,79.5,87.5,79.5,86.0,86.0,23485.0
2017-09-18,87.5,90.0,82.0,90.0,90.0,33126.0
2017-09-19,91.0,94.5,91.0,94.5,94.5,17383.0
2017-09-20,97.0,99.0,92.0,96.0,96.0,31338.0
2017-09-21,92.0,98.0,91.5,94.0,94.0,11025.0
2017-09-22,89.5,94.0,89.5,89.5,89.5,17403.0
2017-09-25,87.5,93.5,85.5,90.5,90.5,25022.0
2017-09-26,88.5,94.5,88.0,93.5,93.5,15194.0
2017-09-27,93.5,96.0,89.0,89.5,89.5,13624.0
2017-09-28,87.0,91.5,85.5,86.0,86.0,7196.0
2017-09-29,89.0,89.0,82.0,85.5,85.5,17227.0
2017-10-03,89.0,89.0,84.0,85.5,85.5,9508.0
2017-10-04,85.5,88.0,82.5,85.5,85.5,10850.0
2017-10-05,86.0,86.0,81.5,82.0,82.0,8957.0
2017-10-06,85.0,85.0,78.0,80.5,80.5,12254.0
2017-10-09,80.5,80.5,76.5,78.0,78.0,10158.0
2017-10-10,80.0,81.5,75.0,81.5,81.5,19971.0
2017-10-11,82.5,85.0,79.0,82.5,82.5,10974.0
2017-10-12,84.5,85.5,79.5,80.0,80.0,9978.0
2017-10-13,82.5,83.5,78.0,80.5,80.5,14366.0
2017-10-16,77.0,82.0,77.0,79.0,79.0,6760.0
2017-10-17,78.0,81.5,78.0,78.5,78.5,4462.0
2017-10-18,81.0,82.0,77.0,81.5,81.5,19771.0
2017-10-19,78.5,85.0,78.5,84.5,84.5,16238.0
2017-10-23,85.0,87.5,83.5,85.0,85.0,8444.0
2017-10-24,88.5,88.5,81.0,82.5,82.5,8281.0
2017-10-25,85.0,85.0,81.5,82.5,82.5,5825.0
2017-10-26,82.5,83.0,80.0,82.5,82.5,6021.0
2017-10-27,79.0,84.0,79.0,82.5,82.5,6557.0
2017-10-30,80.5,84.5,79.5,80.0,80.0,10045.0
2017-10-31,76.0,82.0,76.0,76.0,76.0,6484.0
2017-11-01,77.5,78.0,72.5,74.0,74.0,9699.0
2017-11-02,73.0,77.5,70.5,74.0,74.0,5316.0
2017-11-03,70.5,77.5,70.5,77.0,77.0,1468.0
2017-11-06,79.5,80.0,74.0,78.0,78.0,2535.0
2017-11-07,75.0,80.0,74.5,78.0,78.0,7014.0
2017-11-08,77.0,78.5,77.0,78.0,78.0,1581.0
2017-11-09,74.5,79.0,74.5,74.5,74.5,5602.0
2017-11-10,74.5,76.0,71.0,72.5,72.5,4052.0
2017-11-13,75.5,75.5,69.5,71.5,71.5,4249.0
2017-11-14,73.5,73.5,68.0,69.5,69.5,2342.0
2017-11-15,70.0,70.0,66.5,69.5,69.5,1285.0
2017-11-16,71.5,71.5,66.5,67.0,67.0,2586.0
2017-11-17,68.5,70.0,64.0,69.0,69.0,4833.0
2017-11-20,66.0,71.0,66.0,66.5,66.5,3393.0
2017-11-21,68.0,69.5,65.0,69.5,69.5,4827.0
2017-11-22,71.0,72.5,69.5,71.5,71.5,2071.0
2017-11-23,74.0,75.0,72.5,74.0,74.0,8060.0
2017-11-24,75.0,77.0,70.5,72.5,72.5,4312.0
2017-11-27,70.0,74.0,69.0,70.0,70.0,1331.0
2017-11-28,71.5,73.5,69.0,70.0,70.0,3998.0
2017-11-29,70.0,72.5,67.0,70.5,70.5,2862.0
2017-11-30,67.5,71.0,67.0,68.0,68.0,9395.0
2017-12-01,66.5,71.0,66.5,70.5,70.5,5914.0
2017-12-04,68.5,70.5,68.0,70.0,70.0,2383.0
2017-12-05,67.5,71.5,67.0,69.5,69.5,6874.0
2017-12-06,72.5,72.5,69.0,71.5,71.5,3981.0
2017-12-07,70.5,75.0,70.5,75.0,75.0,3450.0
2017-12-08,75.0,78.5,73.0,74.5,74.5,6229.0
2017-12-11,77.5,77.5,72.0,74.0,74.0,4343.0
2017-12-12,74.0,74.5,70.5,70.5,70.5,2097.0
2017-12-13,70.5,72.0,67.0,71.5,71.5,2105.0
2017-12-14,68.0,70.0,68.0,69.5,69.5,1025.0
2017-12-15,69.0,72.0,66.5,70.0,70.0,2375.0
2017-12-18,70.5,71.0,67.5,69.5,69.5,2342.0
2017-12-19,68.5,71.0,66.5,70.0,70.0,4470.0
2017-12-20,67.5,70.5,67.5,70.0,70.0,2477.0
2017-12-21,67.0,72.0,67.0,71.5,71.5,3867.0
2017-12-22,70.0,71.5,68.0,70.5,70.5,935.0
2017-12-26,71.0,71.5,68.0,70.0,70.0,4278.0
2017-12-27,69.5,73.0,69.0,70.5,70.5,7827.0
2017-12-28,69.5,73.0,69.5,73.0,73.0,1972.0
2017-12-29,70.5,74.0,69.5,73.5,73.5,7641.0
2018-01-01,70.0,76.0,70.0,71.5,71.5,6648.0
2018-01-02,75.0,75.0,71.0,74.5,74.5,6900.0
2018-01-03,74.5,78.0,74.5,78.0,78.0,8393.0
2018-01-04,81.5,81.5,81.5,81.5,81.5,9518.0
2018-01-05,85.5,85.5,85.5,85.5,85.5,7822.0
2018-01-08,89.5,89.5,89.5,89.5,89.5,6727.0
2018-01-09,93.5,93.5,93.5,93.5,93.5,12104.0
2018-01-10,98.0,98.0,89.0,97.5,97.5,83636.0
2018-01-11,96.5,96.5,93.0,93.0,93.0,6412.0
2018-01-12,89.0,89.0,88.5,88.5,88.5,5563.0
2018-01-15,85.0,89.5,84.5,84.5,84.5,3280.0
2018-01-16,80.5,85.0,80.5,80.5,80.5,3110.0
2018-01-17,80.0,80.0,76.5,76.5,76.5,3933.0
2018-01-18,75.0,80.0,73.0,73.0,73.0,8630.0
2018-01-19,69.5,73.0,69.5,69.5,69.5,8323.0
2018-01-22,72.5,72.5,69.5,71.0,71.0,14949.0
2018-01-23,70.0,72.0,67.5,67.5,67.5,8312.0
2018-01-24,67.5,70.0,66.5,69.0,69.0,6930.0
2018-01-25,66.5,70.0,66.0,68.0,68.0,2710.0
2018-01-29,70.0,70.0,66.5,68.5,68.5,2795.0
2018-01-30,65.5,69.5,65.5,68.0,68.0,3957.0
2018-01-31,66.5,69.5,66.0,67.0,67.0,2752.0
2018-02-01,69.0,69.5,67.5,67.5,67.5,5974.0
2018-02-02,65.5,69.0,64.5,66.0,66.0,3968.0
2018-02-05,63.0,69.0,63.0,69.0,69.0,2302.0
2018-02-06,66.0,66.0,66.0,66.0,66.0,1452.0
2018-02-07,68.5,68.5,64.0,64.5,64.5,1026.0
2018-02-08,64.5,66.5,63.0,66.5,66.5,1434.0
2018-02-09,66.5,69.5,63.5,69.5,69.5,6786.0
2018-02-12,70.0,72.5,67.0,71.5,71.5,3205.0
2018-02-14,71.5,71.5,68.0,69.0,69.0,4030.0
2018-02-15,68.5,70.0,68.0,68.5,68.5,6448.0
2018-02-16,69.0,71.5,67.5,70.5,70.5,5218.0
2018-02-19,69.0,70.5,67.0,67.0,67.0,1237.0
2018-02-20,67.0,67.0,64.0,65.0,65.0,1046.0
2018-02-21,64.5,68.0,64.5,66.5,66.5,2726.0
2018-02-22,63.5,65.5,63.5,64.0,64.0,4082.0
2018-02-23,67.0,67.0,67.0,67.0,67.0,466.0
2018-02-26,68.5,70.0,65.0,68.0,68.0,5459.0
2018-02-27,70.0,70.5,65.5,66.0,66.0,2113.0
2018-02-28,63.0,68.5,63.0,64.0,64.0,2727.0
2018-03-01,63.0,65.0,63.0,65.0,65.0,550.0
2018-03-05,65.0,65.0,63.0,63.0,63.0,1894.0
2018-03-06,65.5,65.5,60.5,61.0,61.0,5809.0
2018-03-07,61.0,61.0,58.0,58.5,58.5,1756.0
2018-03-08,58.5,61.0,56.0,60.0,60.0,2428.0
2018-03-09,60.0,63.0,60.0,62.0,62.0,3076.0
2018-03-12,61.5,65.0,59.0,61.0,61.0,3436.0
2018-03-13,58.5,64.0,58.5,63.5,63.5,2003.0
2018-03-14,62.5,66.5,62.5,65.0,65.0,1811.0
2018-03-15,64.0,67.5,62.0,64.5,64.5,3170.0
2018-03-16,67.0,67.0,62.0,64.0,64.0,461.0
2018-03-19,61.5,66.0,61.0,61.5,61.5,2468.0
2018-03-20,64.5,64.5,61.0,62.0,62.0,1915.0
2018-03-21,59.0,61.0,59.0,59.0,59.0,3494.0
2018-03-22,59.0,60.0,57.5,57.5,57.5,16839.0
2018-03-23,55.0,58.5,55.0,55.5,55.5,6146.0
2018-03-26,56.5,57.5,53.0,54.5,54.5,3133.0
2018-03-27,56.0,57.0,53.0,57.0,57.0,777.0
2018-03-28,57.0,58.0,55.0,55.0,55.0,2959.0
2018-04-02,53.5,57.5,52.5,57.5,57.5,910.0
2018-04-03,55.5,59.5,55.0,56.0,56.0,1737.0
2018-04-04,56.0,57.0,54.5,56.0,56.0,1636.0
2018-04-05,54.5,58.0,54.5,56.5,56.5,10971.0
2018-04-06,55.0,58.0,54.0,57.5,57.5,492.0
2018-04-09,60.0,60.0,55.5,57.0,57.0,1079.0
2018-04-10,55.0,58.5,55.0,57.0,57.0,1789.0
2018-04-11,55.5,57.5,55.0,55.5,55.5,609.0
2018-04-12,55.5,57.5,54.5,55.0,55.0,8685.0
2018-04-13,54.0,57.5,54.0,56.0,56.0,1015.0
2018-04-16,57.5,58.5,55.5,58.5,58.5,3065.0
2018-04-17,60.0,61.0,57.5,58.0,58.0,1657.0
2018-04-18,57.5,59.0,55.5,56.0,56.0,1828.0
2018-04-19,58.0,58.0,53.5,55.0,55.0,1880.0
2018-04-20,54.5,57.5,52.5,54.0,54.0,2467.0
2018-04-23,56.0,56.0,51.5,52.0,52.0,3631.0
2018-04-24,54.0,54.0,50.0,50.5,50.5,1940.0
2018-04-25,50.5,52.5,50.0,52.0,52.0,2042.0
2018-04-26,50.5,52.5,50.0,50.5,50.5,515.0
2018-04-27,51.0,53.0,50.0,52.5,52.5,2226.0
2018-04-30,50.5,55.0,50.5,53.5,53.5,1672.0
2018-05-02,53.5,53.5,51.0,51.0,51.0,11620.0
2018-05-03,50.0,53.0,50.0,50.5,50.5,2392.0
2018-05-04,50.5,53.0,50.0,50.5,50.5,2008.0
2018-05-07,52.5,53.0,50.0,52.0,52.0,7612.0
2018-05-08,50.5,53.0,49.5,51.0,51.0,2345.0
2018-05-09,52.0,52.0,48.5,51.0,51.0,648.0
2018-05-10,49.0,51.0,48.5,50.0,50.0,1331.0
2018-05-11,52.0,52.0,48.0,49.0,49.0,1439.0
2018-05-14,47.5,51.0,47.5,50.0,50.0,1764.0
2018-05-15,52.5,52.5,48.0,50.0,50.0,670.0
2018-05-16,51.5,51.5,47.5,47.5,47.5,339.0
2018-05-17,48.0,49.0,45.5,47.5,47.5,1407.0
2018-05-18,45.5,49.0,45.5,45.5,45.5,7220.0
2018-05-21,47.5,47.5,46.0,47.5,47.5,1301.0
2018-05-22,46.0,49.5,46.0,46.0,46.0,1412.0
2018-05-23,47.5,48.0,44.0,46.5,46.5,2914.0
2018-05-24,47.5,47.5,44.5,45.5,45.5,937.0
2018-05-25,46.0,46.5,43.5,46.5,46.5,495.0
2018-05-28,48.0,48.0,44.5,44.5,44.5,2236.0
2018-05-29,45.0,46.0,42.5,44.0,44.0,768.0
2018-05-30,45.5,46.0,44.0,46.0,46.0,847.0
2018-05-31,48.0,48.0,45.0,47.5,47.5,1808.0
2018-06-01,49.0,49.5,45.5,46.0,46.0,1252.0
2018-06-04,45.0,48.0,44.0,44.0,44.0,1467.0
2018-06-05,46.0,46.0,42.0,43.5,43.5,1349.0
2018-06-06,45.0,45.0,41.5,42.0,42.0,879.0
2018-06-07,44.0,44.0,40.5,41.0,41.0,568.0
2018-06-08,39.5,42.0,39.0,41.5,41.5,823.0
2018-06-11,43.0,43.5,40.5,42.0,42.0,824.0
2018-06-12,41.0,43.0,41.0,43.0,43.0,1068.0
2018-06-13,43.5,43.5,41.0,42.5,42.5,3841.0
2018-06-14,44.0,44.0,42.5,42.5,42.5,83.0
2018-06-15,44.5,44.5,44.0,44.0,44.0,721.0
2018-06-18,46.0,46.0,42.0,42.5,42.5,750.0
2018-06-19,44.5,44.5,40.5,41.0,41.0,3442.0
2018-06-20,41.0,41.0,39.5,39.5,39.5,1722.0
2018-06-21,39.5,41.0,39.0,39.0,39.0,645.0
2018-06-22,39.5,39.5,37.5,37.5,37.5,502.0
2018-06-25,36.0,39.0,36.0,37.5,37.5,1224.0
2018-06-26,37.5,38.0,36.0,36.0,36.0,1120.0
2018-06-27,36.0,37.0,34.5,34.5,34.5,2153.0
2018-06-28,34.0,35.0,33.0,33.0,33.0,1876.0
2018-06-29,32.5,34.5,31.5,34.5,34.5,721.0
2018-07-02,34.0,36.0,34.0,36.0,36.0,737.0
2018-07-03,37.5,37.5,37.5,37.5,37.5,270.0
2018-07-04,39.0,39.0,36.0,37.0,37.0,1204.0
2018-07-05,38.5,38.5,35.5,38.5,38.5,384.0
2018-07-06,40.0,40.0,37.0,37.0,37.0,2877.0
2018-07-09,35.5,37.5,35.5,35.5,35.5,575.0
2018-07-10,36.5,36.5,34.5,36.0,36.0,385.0
2018-07-11,37.5,37.5,34.5,37.5,37.5,6842.0
2018-07-12,38.5,39.0,36.0,36.0,36.0,3156.0
2018-07-13,37.5,37.5,34.5,34.5,34.5,2280.0
2018-07-16,36.0,36.0,33.0,33.5,33.5,95.0
2018-07-17,35.0,35.0,32.5,33.5,33.5,388.0
2018-07-18,35.0,35.0,32.5,34.0,34.0,467.0
2018-07-19,35.0,35.0,32.5,32.5,32.5,873.0
2018-07-20,31.0,33.0,31.0,33.0,33.0,965.0
2018-07-23,34.0,34.0,31.5,33.5,33.5,15.0
2018-07-24,34.5,34.5,33.0,33.0,33.0,112.0
2018-07-25,34.0,34.0,31.5,33.0,33.0,1420.0
2018-07-26,34.0,34.0,31.5,31.5,31.5,1087.0
2018-07-27,30.0,33.0,30.0,32.0,32.0,3063.0
2018-07-30,31.0,33.0,31.0,32.5,32.5,1857.0
2018-07-31,34.0,34.0,31.0,31.0,31.0,3073.0
2018-08-01,32.5,32.5,29.5,30.0,30.0,4470.0
2018-08-02,31.0,31.0,28.5,30.0,30.0,1007.0
2018-08-03,31.0,31.5,28.5,28.5,28.5,5717.0
2018-08-06,28.5,29.5,27.5,29.5,29.5,2182.0
2018-08-07,30.5,30.5,28.5,28.5,28.5,2942.0
2018-08-08,29.5,29.5,29.5,29.5,29.5,460.0
2018-08-09,30.5,30.5,30.5,30.5,30.5,1011.0
2018-08-10,32.0,32.0,32.0,32.0,32.0,86.0
2018-08-13,33.5,33.5,30.5,32.0,32.0,26283.0
2018-08-14,33.5,33.5,30.5,31.5,31.5,11825.0
2018-08-16,32.0,33.0,32.0,33.0,33.0,612.0
2018-08-17,34.5,34.5,34.5,34.5,34.5,1769.0
2018-08-20,36.0,36.0,36.0,36.0,36.0,586.0
2018-08-21,37.5,37.5,37.5,37.5,37.5,1799.0
2018-08-23,39.0,39.0,39.0,39.0,39.0,501.0
2018-08-24,40.5,40.5,40.5,40.5,40.5,798.0
2018-08-27,42.5,42.5,42.5,42.5,42.5,2888.0
2018-08-28,44.5,44.5,44.5,44.5,44.5,1056.0
2018-08-29,46.5,46.5,46.5,46.5,46.5,496.0
2018-08-30,48.5,48.5,48.5,48.5,48.5,660.0
2018-08-31,50.5,50.5,50.5,50.5,50.5,1183.0
2018-09-03,53.0,53.0,53.0,53.0,53.0,305.0
2018-09-04,55.5,55.5,55.5,55.5,55.5,1406.0
2018-09-05,58.0,58.0,58.0,58.0,58.0,609.0
2018-09-06,60.5,60.5,60.5,60.5,60.5,493.0
2018-09-07,63.5,63.5,62.0,63.5,63.5,6603.0
2018-09-10,66.5,66.5,66.5,66.5,66.5,5600.0
2018-09-11,69.5,69.5,66.5,69.5,69.5,15962.0
2018-09-12,72.5,72.5,67.5,70.5,70.5,19281.0
2018-09-14,74.0,74.0,69.0,70.5,70.5,11716.0
2018-09-17,70.0,70.0,67.0,67.0,67.0,3833.0
2018-09-18,64.0,67.0,64.0,64.0,64.0,1093.0
2018-09-19,62.0,62.0,61.0,61.0,61.0,614.0
2018-09-21,58.0,58.0,58.0,58.0,58.0,472.0
2018-09-24,55.5,55.5,55.5,55.5,55.5,1843.0
2018-09-25,53.0,53.0,53.0,53.0,53.0,655.0
2018-09-26,50.5,50.5,50.5,50.5,50.5,2659.0
2018-09-27,48.0,48.0,48.0,48.0,48.0,872.0
2018-09-28,50.0,50.0,46.0,46.0,46.0,987.0
2018-10-01,46.0,46.0,44.0,44.0,44.0,1121.0
2018-10-03,43.5,43.5,42.0,42.0,42.0,2099.0
2018-10-04,40.0,43.0,40.0,40.5,40.5,2633.0
2018-10-05,40.5,42.5,40.5,42.5,42.5,337.0
2018-10-08,44.5,44.5,44.5,44.5,44.5,2927.0
2018-10-09,46.5,46.5,46.5,46.5,46.5,2037.0
2018-10-10,48.5,48.5,48.5,48.5,48.5,631.0
2018-10-11,50.5,50.5,50.5,50.5,50.5,1404.0
2018-10-12,53.0,53.0,53.0,53.0,53.0,1353.0
2018-10-15,55.5,55.5,55.5,55.5,55.5,511.0
2018-10-16,58.0,58.0,55.5,58.0,58.0,4727.0
2018-10-17,55.5,60.5,55.5,57.0,57.0,4294.0
2018-10-19,55.5,59.5,54.5,54.5,54.5,1910.0
2018-10-22,55.5,55.5,52.0,52.0,52.0,1572.0
2018-10-23,52.0,54.0,49.5,49.5,49.5,1175.0
2018-10-24,51.0,51.0,47.5,48.0,48.0,1756.0
2018-10-25,46.0,50.0,46.0,47.0,47.0,1823.0
2018-10-26,45.0,49.0,45.0,45.0,45.0,4146.0
2018-10-29,43.0,47.0,43.0,47.0,47.0,2739.0
2018-10-30,49.0,49.0,45.0,49.0,49.0,4238.0
2018-10-31,50.5,50.5,47.0,48.5,48.5,617.0
2018-11-01,49.5,50.5,46.5,47.5,47.5,4734.0
